isTs	is1stLast	prevCol	del.t	condName
FALSE	e	NA	NA	GSM5604143
FALSE	e	NA	NA	GSM5604144
FALSE	e	NA	NA	GSM5604145
FALSE	e	NA	NA	GSM5604146
FALSE	e	NA	NA	GSM5604147
FALSE	e	NA	NA	GSM5604148
FALSE	e	NA	NA	GSM5604149
FALSE	e	NA	NA	GSM5604150
FALSE	e	NA	NA	GSM5604151
FALSE	e	NA	NA	GSM5604152
FALSE	e	NA	NA	GSM5604153
FALSE	e	NA	NA	GSM5604154
FALSE	e	NA	NA	GSM5604155
FALSE	e	NA	NA	GSM5604156
FALSE	e	NA	NA	GSM5604157
FALSE	e	NA	NA	GSM5604158
FALSE	e	NA	NA	GSM5604159
FALSE	e	NA	NA	GSM5604160
FALSE	e	NA	NA	GSM5604161
FALSE	e	NA	NA	GSM5604162
FALSE	e	NA	NA	GSM5604163
FALSE	e	NA	NA	GSM5604164
FALSE	e	NA	NA	GSM5604165
FALSE	e	NA	NA	GSM5604166
FALSE	e	NA	NA	GSM5604167
FALSE	e	NA	NA	GSM5604168
FALSE	e	NA	NA	GSM5604169
FALSE	e	NA	NA	GSM5604170
FALSE	e	NA	NA	GSM5604171
FALSE	e	NA	NA	GSM5604172
FALSE	e	NA	NA	GSM5604173
FALSE	e	NA	NA	GSM5604174
FALSE	e	NA	NA	GSM5604175
FALSE	e	NA	NA	GSM5604176
FALSE	e	NA	NA	GSM5604177
FALSE	e	NA	NA	GSM5604178
FALSE	e	NA	NA	GSM5604179
FALSE	e	NA	NA	GSM5604180
FALSE	e	NA	NA	GSM5604181
FALSE	e	NA	NA	GSM5604182
FALSE	e	NA	NA	GSM5604183
FALSE	e	NA	NA	GSM5604184
FALSE	e	NA	NA	GSM5604185
FALSE	e	NA	NA	GSM5604186
FALSE	e	NA	NA	GSM5604187
FALSE	e	NA	NA	GSM5604188
FALSE	e	NA	NA	GSM5604189
FALSE	e	NA	NA	GSM5604190
FALSE	e	NA	NA	GSM5604191
FALSE	e	NA	NA	GSM5604192
FALSE	e	NA	NA	GSM5604193
